"variables","corTest","AUCtest"
"aspect_250m",0.13,0.04
"bottom_salinity_mean_resample_250m",1.79,0.76
"bpi_4000_20000_250m",0.25,0.16
"bpi_500_5000_250m",1.01,0.2
"chloro_a_mean_resample_250m",7.28,2.72
"depth_250m",6.28,4.36
"distance_from_coast_250m",0.3,0.16
"distance_to_rivers_250m",0.58,0.72
"fishing_effort_mean_250m",0.03,0
"fishing_effort_quantiles_250m",0.15,0
"o2_bottom_mean_resample_250m",0.42,0.04
"o2_bottom_sd_resample_250m",0.42,0.12
"ph_mean_resample_250m",1.18,0.8
"ph_sd_resample_250m",0.34,0.2
"primary_productivity_sd_resample_250m",1.68,0.76
"secchi_depth_mean_resample_250m",0.71,0.2
"secchi_depth_sd_resample_250m",1.03,0.12
"slope_250m",0.24,0.16
"summer_bottomT_mean_resample_250m",1.29,0.84
"wave_sig_height_sd_resample_250m",0.62,0.24
"winter_bottomT_mean_resample_250m",0.4,0.24
"year_round_surfaceT_sd_resample_250m",1.54,0.76
"biozone_resample_250m",1.3,0.52
"sediment_resample_250m",4.36,0.68
