"algo","cv_run","metric","calibration","validation","diff"
"ensemble","RUN1","TSS",0.918,0.769,0.149
"ensemble","RUN1","ROC",0.991,0.941,0.05
"ensemble","RUN2","TSS",0.906,0.815,0.0910000000000001
"ensemble","RUN2","ROC",0.989,0.947,0.042
"ensemble","RUN3","TSS",0.913,0.802,0.111
"ensemble","RUN3","ROC",0.99,0.962,0.028
