"algo","cv_run","metric","calibration","validation","diff"
"ensemble","RUN1","TSS",0.942,0.92,0.0219999999999999
"ensemble","RUN1","ROC",0.992,0.979,0.013
"ensemble","RUN2","TSS",0.949,0.901,0.0479999999999999
"ensemble","RUN2","ROC",0.992,0.979,0.013
"ensemble","RUN3","TSS",0.946,0.922,0.0239999999999999
"ensemble","RUN3","ROC",0.992,0.98,0.012
