"variables","corTest","AUCtest"
"aspect_250m",0.26,0.4
"bottom_salinity_mean_resample_250m",10.53,5.92
"bpi_4000_20000_250m",0.32,0.28
"bpi_500_5000_250m",3.62,1.64
"chloro_a_mean_resample_250m",0.29,0.4
"depth_250m",1.64,0.92
"distance_from_coast_250m",0.16,0.24
"distance_to_rivers_250m",0.43,0.4
"fishing_effort_mean_250m",0.28,0.08
"fishing_effort_quantiles_250m",0.71,0.48
"o2_bottom_mean_resample_250m",3.94,2.44
"o2_bottom_sd_resample_250m",0.33,0.32
"ph_mean_resample_250m",2.47,1.36
"ph_sd_resample_250m",0.99,0.76
"primary_productivity_sd_resample_250m",0.48,0.56
"secchi_depth_mean_resample_250m",2.46,1.56
"secchi_depth_sd_resample_250m",0.62,0.44
"slope_250m",0.47,0.24
"summer_bottomT_mean_resample_250m",0.86,0.56
"wave_sig_height_sd_resample_250m",0.3,0.4
"winter_bottomT_mean_resample_250m",3.88,2.08
"year_round_surfaceT_sd_resample_250m",2.43,1.24
"biozone_resample_250m",2.77,1.52
"sediment_resample_250m",3,1.72
