"variables","corTest","AUCtest"
"aspect_250m",0.1,0
"bottom_salinity_mean_resample_250m",43.32,26.04
"bpi_4000_20000_250m",0.11,0
"bpi_500_5000_250m",0.16,0.08
"chloro_a_mean_resample_250m",0.13,0
"depth_250m",0.25,0.12
"distance_from_coast_250m",1.06,0.4
"distance_to_rivers_250m",0.19,0.08
"fishing_effort_mean_250m",0.13,0.04
"fishing_effort_quantiles_250m",0.09,0.08
"o2_bottom_mean_resample_250m",1.9,0.68
"o2_bottom_sd_resample_250m",1.22,0.44
"ph_mean_resample_250m",0.16,0.12
"ph_sd_resample_250m",0.22,0.12
"primary_productivity_sd_resample_250m",0.12,0.04
"secchi_depth_mean_resample_250m",1.11,0.48
"secchi_depth_sd_resample_250m",0.33,0.2
"slope_250m",0.21,0.12
"summer_bottomT_mean_resample_250m",3.02,0.92
"wave_sig_height_sd_resample_250m",1.16,0.28
"winter_bottomT_mean_resample_250m",1.1,0.6
"year_round_surfaceT_sd_resample_250m",0.38,0.2
"biozone_resample_250m",1.21,0.32
"sediment_resample_250m",0.89,0.2
