"variables","corTest","AUCtest"
"aspect_250m",0.33,0.76
"bottom_salinity_mean_resample_250m",10.83,8.6
"bpi_4000_20000_250m",0.73,0.96
"bpi_500_5000_250m",1.35,1.68
"chloro_a_mean_resample_250m",0.26,0.88
"depth_250m",0.58,1
"distance_from_coast_250m",0.62,0.96
"distance_to_rivers_250m",0.73,0.96
"fishing_effort_mean_250m",0.16,0.24
"fishing_effort_quantiles_250m",0.37,0.4
"o2_bottom_mean_resample_250m",3.59,3.08
"o2_bottom_sd_resample_250m",1.24,1.96
"ph_mean_resample_250m",2.88,2.44
"ph_sd_resample_250m",0.95,1.28
"primary_productivity_sd_resample_250m",1.4,1.84
"secchi_depth_mean_resample_250m",0.87,1.6
"secchi_depth_sd_resample_250m",3.54,2.84
"slope_250m",0.81,1.2
"summer_bottomT_mean_resample_250m",18.34,14.48
"wave_sig_height_sd_resample_250m",0.73,1.04
"winter_bottomT_mean_resample_250m",0.94,0.92
"year_round_surfaceT_sd_resample_250m",0.74,1.12
