"variables","corTest","AUCtest"
"aspect_250m",0.21,0.2
"bottom_salinity_mean_resample_250m",37.48,14.16
"bpi_4000_20000_250m",0.35,0.2
"bpi_500_5000_250m",0.26,0.08
"chloro_a_mean_resample_250m",0.24,0.2
"depth_250m",0.94,0.4
"distance_from_coast_250m",0.19,0.2
"distance_to_rivers_250m",0.7,0.2
"fishing_effort_mean_250m",0.71,0.2
"fishing_effort_quantiles_250m",0.47,0.04
"o2_bottom_mean_resample_250m",0.69,0.28
"o2_bottom_sd_resample_250m",1.41,0.52
"ph_mean_resample_250m",0.3,0.2
"ph_sd_resample_250m",1.1,0.32
"primary_productivity_sd_resample_250m",0.24,0.04
"secchi_depth_mean_resample_250m",2.51,0.56
"secchi_depth_sd_resample_250m",0.24,0.16
"slope_250m",0.35,0.2
"summer_bottomT_mean_resample_250m",1.4,0.52
"wave_sig_height_sd_resample_250m",4.89,0.92
"winter_bottomT_mean_resample_250m",0.72,0.4
"year_round_surfaceT_sd_resample_250m",0.84,0.24
"biozone_resample_250m",1.98,0.2
"sediment_resample_250m",2.92,0.32
