"variables","corTest","AUCtest"
"aspect_250m",0.78,0.12
"bottom_salinity_mean_resample_250m",17.22,4.52
"bpi_4000_20000_250m",0.33,0.04
"bpi_500_5000_250m",0.4,0
"chloro_a_mean_resample_250m",0.85,0.24
"depth_250m",2.86,0.84
"distance_from_coast_250m",2.09,0.56
"distance_to_rivers_250m",1.19,0.4
"fishing_effort_mean_250m",0.06,0
"fishing_effort_quantiles_250m",0.47,0
"o2_bottom_mean_resample_250m",1.88,0.44
"o2_bottom_sd_resample_250m",1.1,0
"ph_mean_resample_250m",1.65,0.4
"ph_sd_resample_250m",0.79,0.12
"primary_productivity_sd_resample_250m",0.57,0
"secchi_depth_mean_resample_250m",3.23,0.88
"secchi_depth_sd_resample_250m",2.72,0.52
"slope_250m",0.24,0
"summer_bottomT_mean_resample_250m",11.92,2.64
"wave_sig_height_sd_resample_250m",16.16,3.6
"winter_bottomT_mean_resample_250m",1.8,0.52
"year_round_surfaceT_sd_resample_250m",0.55,0.2
